=== MÉTRICAS FINALES ===
Distancia recorrida (m),Distancia óptima (m),Diferencia (m),Eficiencia (%),Compensación inicial (m)
13.36,10.67,2.69,79.84,0.00

=== RUTAS POSIBLES ===
Número de Ruta,Waypoints,Distancia (m),Es Óptima
273,start -> huevo R -> helado R -> yuca R -> cerdo R -> res R -> papa R -> cashier,17.02,No
274,start -> yuca R -> res R -> cerdo R -> papa R -> helado R -> huevo R -> cashier,17.05,No
275,start -> helado R -> res R -> yuca R -> huevo R -> cerdo R -> papa R -> cashier,17.05,No
276,start -> res R -> papa R -> cerdo R -> huevo R -> yuca R -> helado R -> cashier,17.05,No
277,start -> yuca R -> papa R -> res R -> helado R -> huevo R -> cerdo R -> cashier,17.06,No
278,start -> yuca R -> cerdo R -> huevo R -> papa R -> res R -> helado R -> cashier,17.06,No
279,start -> res R -> papa R -> yuca R -> helado R -> cerdo R -> huevo R -> cashier,17.06,No
280,start -> helado R -> cerdo R -> res R -> huevo R -> papa R -> yuca R -> cashier,17.07,No
281,start -> huevo R -> res R -> cerdo R -> helado R -> papa R -> yuca R -> cashier,17.08,No
282,start -> huevo R -> res R -> helado R -> yuca R -> cerdo R -> papa R -> cashier,17.09,No
283,start -> cerdo R -> helado R -> huevo R -> res R -> yuca R -> papa R -> cashier,17.11,No
284,start -> cerdo R -> yuca R -> huevo R -> papa R -> res R -> helado R -> cashier,17.11,No
285,start -> cerdo R -> yuca R -> res R -> huevo R -> papa R -> helado R -> cashier,17.12,No
286,start -> helado R -> res R -> yuca R -> huevo R -> papa R -> cerdo R -> cashier,17.13,No
287,start -> huevo R -> yuca R -> res R -> helado R -> cerdo R -> papa R -> cashier,17.13,No
288,start -> helado R -> papa R -> huevo R -> cerdo R -> yuca R -> res R -> cashier,17.14,No
289,start -> papa R -> cerdo R -> huevo R -> helado R -> yuca R -> res R -> cashier,17.14,No
290,start -> huevo R -> yuca R -> res R -> helado R -> papa R -> cerdo R -> cashier,17.14,No
291,start -> cerdo R -> papa R -> huevo R -> helado R -> yuca R -> res R -> cashier,17.15,No
292,start -> papa R -> cerdo R -> huevo R -> helado R -> res R -> yuca R -> cashier,17.15,No
293,start -> cerdo R -> papa R -> huevo R -> helado R -> res R -> yuca R -> cashier,17.16,No
294,start -> papa R -> yuca R -> res R -> huevo R -> helado R -> cerdo R -> cashier,17.18,No
295,start -> papa R -> huevo R -> res R -> yuca R -> cerdo R -> helado R -> cashier,17.19,No
296,start -> helado R -> yuca R -> papa R -> huevo R -> res R -> cerdo R -> cashier,17.20,No
297,start -> huevo R -> res R -> cerdo R -> helado R -> yuca R -> papa R -> cashier,17.20,No
298,start -> huevo R -> papa R -> helado R -> cerdo R -> yuca R -> res R -> cashier,17.23,No
299,start -> cerdo R -> papa R -> res R -> huevo R -> yuca R -> helado R -> cashier,17.24,No
300,start -> huevo R -> papa R -> cerdo R -> res R -> helado R -> yuca R -> cashier,17.25,No
301,start -> cerdo R -> helado R -> yuca R -> papa R -> res R -> huevo R -> cashier,17.26,No
302,start -> helado R -> yuca R -> huevo R -> cerdo R -> papa R -> res R -> cashier,17.26,No
303,start -> res R -> papa R -> yuca R -> helado R -> huevo R -> cerdo R -> cashier,17.27,No
304,start -> helado R -> res R -> yuca R -> cerdo R -> huevo R -> papa R -> cashier,17.27,No
305,start -> res R -> papa R -> huevo R -> cerdo R -> yuca R -> helado R -> cashier,17.27,No
306,start -> helado R -> res R -> papa R -> cerdo R -> huevo R -> yuca R -> cashier,17.27,No
307,start -> huevo R -> cerdo R -> yuca R -> res R -> helado R -> papa R -> cashier,17.28,No
308,start -> helado R -> papa R -> cerdo R -> huevo R -> res R -> yuca R -> cashier,17.28,No
309,start -> cerdo R -> helado R -> huevo R -> res R -> papa R -> yuca R -> cashier,17.33,No
310,start -> res R -> huevo R -> yuca R -> cerdo R -> papa R -> helado R -> cashier,17.35,No
311,start -> huevo R -> yuca R -> helado R -> cerdo R -> papa R -> res R -> cashier,17.35,No
312,start -> helado R -> cerdo R -> papa R -> huevo R -> res R -> yuca R -> cashier,17.36,No
313,start -> yuca R -> papa R -> helado R -> res R -> cerdo R -> huevo R -> cashier,17.36,No
314,start -> huevo R -> papa R -> helado R -> res R -> yuca R -> cerdo R -> cashier,17.36,No
315,start -> papa R -> huevo R -> cerdo R -> res R -> yuca R -> helado R -> cashier,17.39,No
316,start -> yuca R -> cerdo R -> papa R -> huevo R -> helado R -> res R -> cashier,17.39,No
317,start -> helado R -> yuca R -> res R -> huevo R -> cerdo R -> papa R -> cashier,17.39,No
318,start -> cerdo R -> res R -> helado R -> papa R -> yuca R -> huevo R -> cashier,17.41,No
319,start -> yuca R -> huevo R -> papa R -> cerdo R -> res R -> helado R -> cashier,17.42,No
320,start -> helado R -> papa R -> res R -> cerdo R -> yuca R -> huevo R -> cashier,17.42,No
321,start -> cerdo R -> huevo R -> yuca R -> res R -> papa R -> helado R -> cashier,17.43,No
322,start -> yuca R -> papa R -> helado R -> huevo R -> cerdo R -> res R -> cashier,17.43,No
323,start -> papa R -> cerdo R -> yuca R -> huevo R -> helado R -> res R -> cashier,17.43,No
324,start -> papa R -> res R -> huevo R -> cerdo R -> yuca R -> helado R -> cashier,17.45,No
325,start -> yuca R -> res R -> papa R -> huevo R -> cerdo R -> helado R -> cashier,17.46,No
326,start -> cerdo R -> huevo R -> papa R -> yuca R -> helado R -> res R -> cashier,17.46,No
327,start -> helado R -> yuca R -> res R -> huevo R -> papa R -> cerdo R -> cashier,17.48,No
328,start -> helado R -> yuca R -> cerdo R -> huevo R -> papa R -> res R -> cashier,17.48,No
329,start -> huevo R -> res R -> yuca R -> helado R -> cerdo R -> papa R -> cashier,17.48,No
330,start -> huevo R -> yuca R -> helado R -> res R -> papa R -> cerdo R -> cashier,17.48,No
331,start -> huevo R -> res R -> yuca R -> helado R -> papa R -> cerdo R -> cashier,17.49,No
332,start -> huevo R -> cerdo R -> yuca R -> helado R -> papa R -> res R -> cashier,17.49,No
333,start -> helado R -> res R -> papa R -> huevo R -> cerdo R -> yuca R -> cashier,17.49,No
334,start -> papa R -> res R -> yuca R -> huevo R -> cerdo R -> helado R -> cashier,17.49,No
335,start -> yuca R -> papa R -> huevo R -> helado R -> cerdo R -> res R -> cashier,17.50,No
336,start -> res R -> helado R -> yuca R -> cerdo R -> papa R -> huevo R -> cashier,17.53,No
337,start -> papa R -> yuca R -> huevo R -> helado R -> cerdo R -> res R -> cashier,17.54,No
338,start -> res R -> huevo R -> helado R -> cerdo R -> yuca R -> papa R -> cashier,17.55,No
339,start -> helado R -> papa R -> cerdo R -> yuca R -> huevo R -> res R -> cashier,17.56,No
340,start -> res R -> huevo R -> helado R -> papa R -> yuca R -> cerdo R -> cashier,17.56,No
341,start -> huevo R -> papa R -> res R -> helado R -> cerdo R -> yuca R -> cashier,17.58,No
342,start -> cerdo R -> res R -> helado R -> huevo R -> yuca R -> papa R -> cashier,17.60,No
343,start -> res R -> helado R -> huevo R -> papa R -> cerdo R -> yuca R -> cashier,17.61,No
344,start -> helado R -> huevo R -> yuca R -> cerdo R -> res R -> papa R -> cashier,17.61,No
345,start -> huevo R -> cerdo R -> yuca R -> helado R -> res R -> papa R -> cashier,17.62,No
346,start -> res R -> cerdo R -> papa R -> huevo R -> yuca R -> helado R -> cashier,17.62,No
347,start -> yuca R -> papa R -> huevo R -> helado R -> res R -> cerdo R -> cashier,17.64,No
348,start -> res R -> cerdo R -> helado R -> yuca R -> papa R -> huevo R -> cashier,17.64,No
349,start -> res R -> cerdo R -> huevo R -> helado R -> papa R -> yuca R -> cashier,17.64,No
350,start -> papa R -> res R -> cerdo R -> yuca R -> helado R -> huevo R -> cashier,17.64,No
351,start -> yuca R -> res R -> helado R -> papa R -> cerdo R -> huevo R -> cashier,17.64,No
352,start -> papa R -> yuca R -> huevo R -> helado R -> res R -> cerdo R -> cashier,17.67,No
353,start -> papa R -> huevo R -> yuca R -> cerdo R -> res R -> helado R -> cashier,17.68,No
354,start -> helado R -> res R -> huevo R -> yuca R -> cerdo R -> papa R -> cashier,17.68,No
355,start -> cerdo R -> papa R -> helado R -> res R -> yuca R -> huevo R -> cashier,17.69,No
356,start -> huevo R -> papa R -> res R -> helado R -> yuca R -> cerdo R -> cashier,17.70,No
357,start -> huevo R -> res R -> papa R -> cerdo R -> helado R -> yuca R -> cashier,17.71,No
358,start -> papa R -> cerdo R -> yuca R -> helado R -> res R -> huevo R -> cashier,17.71,No
359,start -> res R -> cerdo R -> helado R -> huevo R -> papa R -> yuca R -> cashier,17.72,No
360,start -> yuca R -> res R -> helado R -> cerdo R -> papa R -> huevo R -> cashier,17.72,No
361,start -> res R -> cerdo R -> huevo R -> helado R -> yuca R -> papa R -> cashier,17.75,No
362,start -> cerdo R -> papa R -> helado R -> huevo R -> yuca R -> res R -> cashier,17.76,No
363,start -> papa R -> cerdo R -> helado R -> res R -> yuca R -> huevo R -> cashier,17.76,No
364,start -> papa R -> cerdo R -> yuca R -> helado R -> huevo R -> res R -> cashier,17.78,No
365,start -> helado R -> cerdo R -> res R -> huevo R -> yuca R -> papa R -> cashier,17.79,No
366,start -> helado R -> papa R -> yuca R -> huevo R -> res R -> cerdo R -> cashier,17.80,No
367,start -> papa R -> cerdo R -> res R -> huevo R -> yuca R -> helado R -> cashier,17.81,No
368,start -> papa R -> yuca R -> helado R -> cerdo R -> res R -> huevo R -> cashier,17.82,No
369,start -> papa R -> cerdo R -> helado R -> huevo R -> yuca R -> res R -> cashier,17.82,No
370,start -> cerdo R -> res R -> huevo R -> helado R -> papa R -> yuca R -> cashier,17.83,No
371,start -> yuca R -> res R -> helado R -> huevo R -> cerdo R -> papa R -> cashier,17.84,No
372,start -> helado R -> yuca R -> huevo R -> papa R -> cerdo R -> res R -> cashier,17.84,No
373,start -> res R -> yuca R -> helado R -> papa R -> cerdo R -> huevo R -> cashier,17.85,No
374,start -> huevo R -> yuca R -> helado R -> papa R -> cerdo R -> res R -> cashier,17.85,No
375,start -> helado R -> res R -> cerdo R -> papa R -> huevo R -> yuca R -> cashier,17.85,No
376,start -> yuca R -> huevo R -> res R -> papa R -> cerdo R -> helado R -> cashier,17.88,No
377,start -> helado R -> cerdo R -> huevo R -> papa R -> res R -> yuca R -> cashier,17.88,No
378,start -> huevo R -> cerdo R -> helado R -> papa R -> res R -> yuca R -> cashier,17.89,No
379,start -> papa R -> helado R -> res R -> yuca R -> cerdo R -> huevo R -> cashier,17.90,No
380,start -> cerdo R -> yuca R -> res R -> helado R -> papa R -> huevo R -> cashier,17.91,No
381,start -> yuca R -> res R -> helado R -> huevo R -> papa R -> cerdo R -> cashier,17.92,No
382,start -> res R -> yuca R -> helado R -> cerdo R -> papa R -> huevo R -> cashier,17.92,No
383,start -> cerdo R -> res R -> huevo R -> helado R -> yuca R -> papa R -> cashier,17.95,No
384,start -> res R -> papa R -> yuca R -> huevo R -> helado R -> cerdo R -> cashier,17.95,No
385,start -> res R -> papa R -> huevo R -> yuca R -> cerdo R -> helado R -> cashier,17.95,No
386,start -> yuca R -> res R -> cerdo R -> huevo R -> papa R -> helado R -> cashier,17.96,No
387,start -> papa R -> helado R -> huevo R -> cerdo R -> yuca R -> res R -> cashier,17.97,No
388,start -> huevo R -> yuca R -> helado R -> res R -> cerdo R -> papa R -> cashier,17.97,No
389,start -> yuca R -> helado R -> res R -> papa R -> cerdo R -> huevo R -> cashier,17.98,No
390,start -> cerdo R -> res R -> yuca R -> huevo R -> papa R -> helado R -> cashier,18.00,No
391,start -> helado R -> yuca R -> res R -> papa R -> huevo R -> cerdo R -> cashier,18.01,No
392,start -> huevo R -> cerdo R -> helado R -> yuca R -> res R -> papa R -> cashier,18.01,No
393,start -> yuca R -> cerdo R -> huevo R -> res R -> papa R -> helado R -> cashier,18.02,No
394,start -> papa R -> yuca R -> helado R -> huevo R -> res R -> cerdo R -> cashier,18.02,No
395,start -> papa R -> huevo R -> res R -> cerdo R -> yuca R -> helado R -> cashier,18.02,No
396,start -> cerdo R -> papa R -> res R -> helado R -> yuca R -> huevo R -> cashier,18.03,No
397,start -> cerdo R -> papa R -> helado R -> yuca R -> res R -> huevo R -> cashier,18.04,No
398,start -> res R -> yuca R -> helado R -> huevo R -> cerdo R -> papa R -> cashier,18.04,No
399,start -> papa R -> huevo R -> helado R -> cerdo R -> yuca R -> res R -> cashier,18.04,No
400,start -> yuca R -> helado R -> huevo R -> cerdo R -> papa R -> res R -> cashier,18.05,No
401,start -> cerdo R -> yuca R -> huevo R -> res R -> papa R -> helado R -> cashier,18.06,No
402,start -> huevo R -> papa R -> helado R -> yuca R -> cerdo R -> res R -> cashier,18.07,No
403,start -> papa R -> huevo R -> yuca R -> res R -> cerdo R -> helado R -> cashier,18.07,No
404,start -> cerdo R -> huevo R -> yuca R -> papa R -> helado R -> res R -> cashier,18.07,No
405,start -> huevo R -> papa R -> helado R -> res R -> cerdo R -> yuca R -> cashier,18.08,No
406,start -> yuca R -> papa R -> res R -> huevo R -> helado R -> cerdo R -> cashier,18.09,No
407,start -> huevo R -> papa R -> res R -> yuca R -> helado R -> cerdo R -> cashier,18.09,No
408,start -> cerdo R -> yuca R -> res R -> helado R -> huevo R -> papa R -> cashier,18.10,No
409,start -> yuca R -> papa R -> huevo R -> cerdo R -> helado R -> res R -> cashier,18.10,No
410,start -> papa R -> cerdo R -> helado R -> yuca R -> res R -> huevo R -> cashier,18.11,No
411,start -> cerdo R -> papa R -> res R -> helado R -> huevo R -> yuca R -> cashier,18.11,No
412,start -> cerdo R -> papa R -> helado R -> huevo R -> res R -> yuca R -> cashier,18.11,No
413,start -> res R -> yuca R -> helado R -> huevo R -> papa R -> cerdo R -> cashier,18.12,No
414,start -> papa R -> res R -> huevo R -> yuca R -> cerdo R -> helado R -> cashier,18.13,No
415,start -> res R -> helado R -> papa R -> cerdo R -> yuca R -> huevo R -> cashier,18.14,No
416,start -> papa R -> yuca R -> huevo R -> cerdo R -> helado R -> res R -> cashier,18.14,No
417,start -> helado R -> cerdo R -> yuca R -> huevo R -> papa R -> res R -> cashier,18.16,No
418,start -> huevo R -> yuca R -> cerdo R -> helado R -> papa R -> res R -> cashier,18.17,No
419,start -> papa R -> huevo R -> helado R -> res R -> yuca R -> cerdo R -> cashier,18.18,No
420,start -> papa R -> cerdo R -> helado R -> huevo R -> res R -> yuca R -> cashier,18.18,No
421,start -> huevo R -> res R -> cerdo R -> papa R -> helado R -> yuca R -> cashier,18.21,No
422,start -> yuca R -> cerdo R -> res R -> papa R -> helado R -> huevo R -> cashier,18.21,No
423,start -> papa R -> res R -> helado R -> yuca R -> cerdo R -> huevo R -> cashier,18.24,No
424,start -> res R -> cerdo R -> helado R -> papa R -> yuca R -> huevo R -> cashier,18.24,No
425,start -> cerdo R -> yuca R -> helado R -> res R -> papa R -> huevo R -> cashier,18.25,No
426,start -> res R -> papa R -> cerdo R -> huevo R -> helado R -> yuca R -> cashier,18.26,No
427,start -> yuca R -> cerdo R -> papa R -> helado R -> res R -> huevo R -> cashier,18.28,No
428,start -> helado R -> cerdo R -> yuca R -> res R -> huevo R -> papa R -> cashier,18.30,No
429,start -> helado R -> res R -> papa R -> huevo R -> yuca R -> cerdo R -> cashier,18.30,No
430,start -> huevo R -> yuca R -> cerdo R -> helado R -> res R -> papa R -> cashier,18.30,No
431,start -> helado R -> cerdo R -> papa R -> res R -> huevo R -> yuca R -> cashier,18.30,No
432,start -> helado R -> papa R -> huevo R -> res R -> yuca R -> cerdo R -> cashier,18.31,No
433,start -> huevo R -> res R -> yuca R -> cerdo R -> helado R -> papa R -> cashier,18.31,No
434,start -> res R -> helado R -> cerdo R -> huevo R -> papa R -> yuca R -> cashier,18.31,No
435,start -> cerdo R -> yuca R -> helado R -> huevo R -> papa R -> res R -> cashier,18.31,No
436,start -> papa R -> res R -> helado R -> huevo R -> cerdo R -> yuca R -> cashier,18.32,No
437,start -> res R -> helado R -> huevo R -> yuca R -> cerdo R -> papa R -> cashier,18.33,No
438,start -> papa R -> res R -> cerdo R -> huevo R -> yuca R -> helado R -> cashier,18.33,No
439,start -> cerdo R -> res R -> papa R -> huevo R -> yuca R -> helado R -> cashier,18.34,No
440,start -> yuca R -> cerdo R -> papa R -> helado R -> huevo R -> res R -> cashier,18.35,No
441,start -> yuca R -> huevo R -> res R -> cerdo R -> papa R -> helado R -> cashier,18.37,No
442,start -> helado R -> papa R -> huevo R -> cerdo R -> res R -> yuca R -> cashier,18.38,No
443,start -> yuca R -> papa R -> helado R -> cerdo R -> res R -> huevo R -> cashier,18.39,No
444,start -> helado R -> yuca R -> huevo R -> res R -> papa R -> cerdo R -> cashier,18.43,No
445,start -> cerdo R -> huevo R -> res R -> helado R -> papa R -> yuca R -> cashier,18.43,No
446,start -> res R -> cerdo R -> helado R -> huevo R -> yuca R -> papa R -> cashier,18.44,No
447,start -> res R -> helado R -> yuca R -> papa R -> huevo R -> cerdo R -> cashier,18.44,No
448,start -> helado R -> papa R -> res R -> huevo R -> cerdo R -> yuca R -> cashier,18.45,No
449,start -> res R -> cerdo R -> yuca R -> huevo R -> papa R -> helado R -> cashier,18.45,No
450,start -> cerdo R -> papa R -> res R -> huevo R -> helado R -> yuca R -> cashier,18.45,No
451,start -> huevo R -> papa R -> helado R -> cerdo R -> res R -> yuca R -> cashier,18.47,No
452,start -> papa R -> yuca R -> helado R -> cerdo R -> huevo R -> res R -> cashier,18.49,No
453,start -> cerdo R -> helado R -> yuca R -> papa R -> huevo R -> res R -> cashier,18.49,No
454,start -> helado R -> yuca R -> res R -> cerdo R -> huevo R -> papa R -> cashier,18.50,No
455,start -> cerdo R -> helado R -> res R -> huevo R -> papa R -> yuca R -> cashier,18.51,No
456,start -> huevo R -> cerdo R -> res R -> yuca R -> helado R -> papa R -> cashier,18.51,No
457,start -> huevo R -> res R -> papa R -> helado R -> cerdo R -> yuca R -> cashier,18.53,No
458,start -> cerdo R -> huevo R -> res R -> helado R -> yuca R -> papa R -> cashier,18.54,No
459,start -> yuca R -> helado R -> res R -> cerdo R -> papa R -> huevo R -> cashier,18.56,No
460,start -> helado R -> yuca R -> cerdo R -> huevo R -> res R -> papa R -> cashier,18.56,No
461,start -> res R -> huevo R -> helado R -> papa R -> cerdo R -> yuca R -> cashier,18.56,No
462,start -> yuca R -> papa R -> helado R -> huevo R -> res R -> cerdo R -> cashier,18.59,No
463,start -> huevo R -> papa R -> helado R -> yuca R -> res R -> cerdo R -> cashier,18.59,No
464,start -> yuca R -> cerdo R -> res R -> huevo R -> papa R -> helado R -> cashier,18.59,No
465,start -> papa R -> cerdo R -> res R -> helado R -> yuca R -> huevo R -> cashier,18.60,No
466,start -> helado R -> cerdo R -> huevo R -> yuca R -> res R -> papa R -> cashier,18.60,No
467,start -> helado R -> papa R -> res R -> yuca R -> huevo R -> cerdo R -> cashier,18.61,No
468,start -> papa R -> yuca R -> helado R -> res R -> huevo R -> cerdo R -> cashier,18.62,No
469,start -> yuca R -> helado R -> huevo R -> papa R -> cerdo R -> res R -> cashier,18.62,No
470,start -> papa R -> res R -> yuca R -> helado R -> cerdo R -> huevo R -> cashier,18.63,No
471,start -> cerdo R -> helado R -> yuca R -> res R -> papa R -> huevo R -> cashier,18.64,No
472,start -> cerdo R -> huevo R -> helado R -> papa R -> res R -> yuca R -> cashier,18.64,No
473,start -> huevo R -> res R -> papa R -> helado R -> yuca R -> cerdo R -> cashier,18.66,No
474,start -> helado R -> papa R -> huevo R -> yuca R -> cerdo R -> res R -> cashier,18.66,No
475,start -> papa R -> cerdo R -> res R -> helado R -> huevo R -> yuca R -> cashier,18.67,No
476,start -> res R -> huevo R -> helado R -> yuca R -> cerdo R -> papa R -> cashier,18.68,No
477,start -> huevo R -> yuca R -> res R -> papa R -> helado R -> cerdo R -> cashier,18.70,No
478,start -> cerdo R -> helado R -> huevo R -> papa R -> res R -> yuca R -> cashier,18.72,No
479,start -> res R -> yuca R -> huevo R -> helado R -> cerdo R -> papa R -> cashier,18.72,No
480,start -> res R -> yuca R -> huevo R -> helado R -> papa R -> cerdo R -> cashier,18.73,No
481,start -> yuca R -> huevo R -> helado R -> cerdo R -> papa R -> res R -> cashier,18.73,No
482,start -> huevo R -> cerdo R -> res R -> papa R -> helado R -> yuca R -> cashier,18.73,No
483,start -> res R -> yuca R -> cerdo R -> helado R -> papa R -> huevo R -> cashier,18.75,No
484,start -> cerdo R -> huevo R -> helado R -> yuca R -> res R -> papa R -> cashier,18.76,No
485,start -> helado R -> res R -> cerdo R -> yuca R -> huevo R -> papa R -> cashier,18.79,No
486,start -> huevo R -> yuca R -> cerdo R -> res R -> helado R -> papa R -> cashier,18.80,No
487,start -> helado R -> papa R -> cerdo R -> res R -> huevo R -> yuca R -> cashier,18.80,No
488,start -> huevo R -> papa R -> res R -> cerdo R -> helado R -> yuca R -> cashier,18.81,No
489,start -> papa R -> res R -> yuca R -> helado R -> huevo R -> cerdo R -> cashier,18.83,No
490,start -> res R -> cerdo R -> papa R -> huevo R -> helado R -> yuca R -> cashier,18.84,No
491,start -> res R -> yuca R -> cerdo R -> huevo R -> helado R -> papa R -> cashier,18.86,No
492,start -> yuca R -> res R -> huevo R -> helado R -> cerdo R -> papa R -> cashier,18.87,No
493,start -> yuca R -> huevo R -> helado R -> res R -> papa R -> cerdo R -> cashier,18.87,No
494,start -> res R -> papa R -> cerdo R -> helado R -> yuca R -> huevo R -> cashier,18.87,No
495,start -> yuca R -> res R -> huevo R -> helado R -> papa R -> cerdo R -> cashier,18.87,No
496,start -> yuca R -> cerdo R -> huevo R -> helado R -> papa R -> res R -> cashier,18.87,No
497,start -> papa R -> huevo R -> helado R -> yuca R -> cerdo R -> res R -> cashier,18.88,No
498,start -> yuca R -> cerdo R -> helado R -> res R -> papa R -> huevo R -> cashier,18.89,No
499,start -> papa R -> huevo R -> helado R -> res R -> cerdo R -> yuca R -> cashier,18.89,No
500,start -> yuca R -> huevo R -> cerdo R -> res R -> papa R -> helado R -> cashier,18.90,No
501,start -> helado R -> yuca R -> huevo R -> res R -> cerdo R -> papa R -> cashier,18.91,No
502,start -> cerdo R -> yuca R -> huevo R -> helado R -> papa R -> res R -> cashier,18.92,No
503,start -> papa R -> res R -> helado R -> cerdo R -> yuca R -> huevo R -> cashier,18.92,No
504,start -> papa R -> helado R -> cerdo R -> yuca R -> res R -> huevo R -> cashier,18.93,No
505,start -> res R -> yuca R -> cerdo R -> helado R -> huevo R -> papa R -> cashier,18.94,No
506,start -> res R -> papa R -> cerdo R -> helado R -> huevo R -> yuca R -> cashier,18.95,No
507,start -> yuca R -> cerdo R -> helado R -> huevo R -> papa R -> res R -> cashier,18.95,No
508,start -> yuca R -> huevo R -> papa R -> res R -> cerdo R -> helado R -> cashier,18.98,No
509,start -> yuca R -> cerdo R -> huevo R -> helado R -> res R -> papa R -> cashier,19.00,No
510,start -> res R -> papa R -> helado R -> yuca R -> cerdo R -> huevo R -> cashier,19.01,No
511,start -> yuca R -> helado R -> cerdo R -> papa R -> res R -> huevo R -> cashier,19.01,No
512,start -> helado R -> papa R -> huevo R -> res R -> cerdo R -> yuca R -> cashier,19.02,No
513,start -> papa R -> cerdo R -> res R -> huevo R -> helado R -> yuca R -> cashier,19.02,No
514,start -> res R -> helado R -> cerdo R -> huevo R -> yuca R -> papa R -> cashier,19.03,No
515,start -> res R -> helado R -> papa R -> yuca R -> huevo R -> cerdo R -> cashier,19.04,No
516,start -> cerdo R -> yuca R -> huevo R -> helado R -> res R -> papa R -> cashier,19.04,No
517,start -> cerdo R -> yuca R -> res R -> huevo R -> helado R -> papa R -> cashier,19.05,No
518,start -> yuca R -> papa R -> helado R -> cerdo R -> huevo R -> res R -> cashier,19.05,No
519,start -> res R -> papa R -> helado R -> huevo R -> cerdo R -> yuca R -> cashier,19.09,No
520,start -> cerdo R -> helado R -> papa R -> yuca R -> huevo R -> res R -> cashier,19.10,No
521,start -> papa R -> res R -> helado R -> huevo R -> yuca R -> cerdo R -> cashier,19.12,No
522,start -> papa R -> helado R -> yuca R -> res R -> cerdo R -> huevo R -> cashier,19.13,No
523,start -> papa R -> helado R -> huevo R -> res R -> yuca R -> cerdo R -> cashier,19.13,No
524,start -> helado R -> yuca R -> cerdo R -> res R -> huevo R -> papa R -> cashier,19.13,No
525,start -> cerdo R -> res R -> yuca R -> helado R -> papa R -> huevo R -> cashier,19.14,No
526,start -> huevo R -> res R -> cerdo R -> yuca R -> helado R -> papa R -> cashier,19.15,No
527,start -> res R -> papa R -> huevo R -> helado R -> cerdo R -> yuca R -> cashier,19.17,No
528,start -> helado R -> cerdo R -> res R -> yuca R -> huevo R -> papa R -> cashier,19.18,No
529,start -> helado R -> papa R -> huevo R -> yuca R -> res R -> cerdo R -> cashier,19.19,No
530,start -> yuca R -> papa R -> helado R -> res R -> huevo R -> cerdo R -> cashier,19.19,No
531,start -> huevo R -> yuca R -> res R -> cerdo R -> helado R -> papa R -> cashier,19.19,No
532,start -> yuca R -> res R -> papa R -> helado R -> cerdo R -> huevo R -> cashier,19.20,No
533,start -> cerdo R -> yuca R -> helado R -> papa R -> res R -> huevo R -> cashier,19.20,No
534,start -> papa R -> helado R -> huevo R -> cerdo R -> res R -> yuca R -> cashier,19.21,No
535,start -> yuca R -> helado R -> huevo R -> res R -> papa R -> cerdo R -> cashier,19.21,No
536,start -> cerdo R -> helado R -> res R -> huevo R -> yuca R -> papa R -> cashier,19.22,No
537,start -> yuca R -> huevo R -> helado R -> papa R -> cerdo R -> res R -> cashier,19.23,No
538,start -> helado R -> cerdo R -> yuca R -> huevo R -> res R -> papa R -> cashier,19.24,No
539,start -> cerdo R -> helado R -> papa R -> res R -> yuca R -> huevo R -> cashier,19.25,No
540,start -> helado R -> papa R -> res R -> huevo R -> yuca R -> cerdo R -> cashier,19.25,No
541,start -> papa R -> cerdo R -> huevo R -> yuca R -> helado R -> res R -> cashier,19.26,No
542,start -> yuca R -> papa R -> huevo R -> res R -> helado R -> cerdo R -> cashier,19.27,No
543,start -> cerdo R -> papa R -> huevo R -> yuca R -> helado R -> res R -> cashier,19.27,No
544,start -> res R -> huevo R -> cerdo R -> helado R -> papa R -> yuca R -> cashier,19.27,No
545,start -> papa R -> huevo R -> helado R -> cerdo R -> res R -> yuca R -> cashier,19.28,No
546,start -> res R -> papa R -> huevo R -> helado R -> yuca R -> cerdo R -> cashier,19.29,No
547,start -> papa R -> yuca R -> huevo R -> res R -> helado R -> cerdo R -> cashier,19.30,No
548,start -> helado R -> papa R -> res R -> cerdo R -> huevo R -> yuca R -> cashier,19.33,No
549,start -> cerdo R -> res R -> yuca R -> helado R -> huevo R -> papa R -> cashier,19.33,No
550,start -> papa R -> res R -> huevo R -> helado R -> cerdo R -> yuca R -> cashier,19.35,No
551,start -> yuca R -> huevo R -> helado R -> res R -> cerdo R -> papa R -> cashier,19.35,No
552,start -> res R -> cerdo R -> papa R -> helado R -> yuca R -> huevo R -> cashier,19.37,No
553,start -> res R -> huevo R -> cerdo R -> helado R -> yuca R -> papa R -> cashier,19.38,No
554,start -> yuca R -> cerdo R -> res R -> helado R -> papa R -> huevo R -> cashier,19.38,No
555,start -> cerdo R -> yuca R -> helado R -> huevo R -> res R -> papa R -> cashier,19.39,No
556,start -> yuca R -> res R -> papa R -> helado R -> huevo R -> cerdo R -> cashier,19.40,No
557,start -> helado R -> cerdo R -> res R -> papa R -> huevo R -> yuca R -> cashier,19.40,No
558,start -> papa R -> huevo R -> helado R -> yuca R -> res R -> cerdo R -> cashier,19.41,No
559,start -> papa R -> helado R -> res R -> cerdo R -> yuca R -> huevo R -> cashier,19.42,No
560,start -> cerdo R -> helado R -> huevo R -> yuca R -> res R -> papa R -> cashier,19.44,No
